time,workload,stores
2025-11-04 17:14:30,3,1
2025-11-04 17:15:00,3,1
2025-11-04 17:15:30,0,1
2025-11-04 17:16:00,0,1
2025-11-04 17:16:30,0,1
2025-11-04 17:17:00,0,1
2025-11-04 17:17:30,0,1
2025-11-04 17:18:00,0,1
2025-11-04 17:18:30,0,1
2025-11-04 17:19:00,0,1
2025-11-04 17:19:30,0,1
2025-11-04 17:20:00,0,1
2025-11-04 17:20:30,0,1
2025-11-04 17:21:00,0,1
2025-11-04 17:21:30,0,1
2025-11-04 17:22:00,0,1
2025-11-04 17:22:30,0,1
2025-11-04 17:23:00,0,1
2025-11-04 17:23:30,0,1
2025-11-04 17:24:00,0,1
2025-11-04 17:24:30,0,1
2025-11-04 17:25:00,0,1
2025-11-04 17:25:30,0,1
2025-11-04 17:26:00,0,1
2025-11-04 17:26:30,0,1
2025-11-04 17:27:00,0,1
2025-11-04 17:27:30,0,1
2025-11-04 17:28:00,0,1
2025-11-04 17:28:30,0,1
2025-11-04 17:29:00,0,1
2025-11-04 17:29:30,0,1
2025-11-04 17:30:00,0,1
2025-11-04 17:30:30,0,1
2025-11-04 17:31:00,0,1
2025-11-04 17:31:30,0,1
2025-11-04 17:32:00,0,1
2025-11-04 17:32:30,0,1
2025-11-04 17:33:00,0,1
2025-11-04 17:33:30,0,1
2025-11-04 17:34:00,0,1
2025-11-04 17:34:30,0,1
2025-11-04 17:35:00,0,1
2025-11-04 17:35:30,0,1
2025-11-04 17:36:00,0,1
2025-11-04 17:36:30,0,1
2025-11-04 17:37:00,0,1
2025-11-04 17:37:30,0,1
2025-11-04 17:38:00,0,1
2025-11-04 17:38:30,0,1
2025-11-04 17:39:00,0,1
2025-11-04 17:39:30,0,1
2025-11-04 17:40:00,0,1
2025-11-04 17:40:30,0,1
2025-11-04 17:41:00,0,1
2025-11-04 17:41:30,0,1
2025-11-04 17:42:00,0,1
2025-11-04 17:42:30,0,1
2025-11-04 17:43:00,0,1
2025-11-04 17:43:30,0,1
2025-11-04 17:44:00,0,1
2025-11-04 17:44:30,0,1
2025-11-04 17:45:00,0,1
2025-11-04 17:45:30,0,1
2025-11-04 17:46:00,0,1
2025-11-04 17:46:30,0,1
2025-11-04 17:47:00,0,1
2025-11-04 17:47:30,0,1
2025-11-04 17:48:00,0,1
2025-11-04 17:48:30,0,1
2025-11-04 17:49:00,0,1
2025-11-04 17:49:30,0,1
2025-11-04 17:50:00,0,1
2025-11-04 17:50:30,0,1
2025-11-04 17:51:00,0,1
2025-11-04 17:51:30,0,1
2025-11-04 17:52:00,0,1
2025-11-04 17:52:30,0,1
2025-11-04 17:53:00,0,1
2025-11-04 17:53:30,0,1
2025-11-04 17:54:00,0,1
2025-11-04 17:54:30,0,1
2025-11-04 17:55:00,0,1
2025-11-04 17:55:30,0,1
2025-11-04 17:56:00,0,1
2025-11-04 17:56:30,0,1
2025-11-04 17:57:00,0,1
2025-11-04 17:57:30,0,1
2025-11-04 17:58:00,0,1
2025-11-04 17:58:30,0,1
2025-11-04 17:59:00,0,1
2025-11-04 17:59:30,0,1
2025-11-04 18:00:00,0,1
2025-11-04 18:00:30,0,1
2025-11-04 18:01:00,0,1
2025-11-04 18:01:30,0,1
2025-11-04 18:02:00,1,1
2025-11-04 18:02:30,1,1
2025-11-04 18:03:00,2,1
2025-11-04 18:03:30,2,1
2025-11-04 18:04:00,2,1
2025-11-04 18:04:30,2,1
2025-11-04 18:05:00,3,1
2025-11-04 18:05:30,5,1
2025-11-04 18:06:00,5,1
2025-11-04 18:06:30,5,1
2025-11-04 18:07:00,5,1
2025-11-04 18:07:30,6,2
2025-11-04 18:08:00,7,2
2025-11-04 18:08:30,8,2
2025-11-04 18:09:00,8,2
2025-11-04 18:09:30,7,2
2025-11-04 18:10:00,6,2
2025-11-04 18:10:30,5,2
2025-11-04 18:11:00,6,2
2025-11-04 18:11:30,6,2
2025-11-04 18:12:00,6,2
2025-11-04 18:12:30,6,2
2025-11-04 18:13:00,7,2
2025-11-04 18:13:30,6,2
2025-11-04 18:14:00,6,2
2025-11-04 18:14:30,7,2
2025-11-04 18:15:00,7,2
2025-11-04 18:15:30,5,2
2025-11-04 18:16:00,5,2
2025-11-04 18:16:30,5,2
2025-11-04 18:17:00,6,2
2025-11-04 18:17:30,6,2
2025-11-04 18:18:00,7,2
2025-11-04 18:18:30,7,2
2025-11-04 18:19:00,6,2
2025-11-04 18:19:30,6,2
2025-11-04 18:20:00,6,2
