time,workload,stores
2025-11-03 19:36:30,4,1
2025-11-03 19:37:00,4,1
2025-11-03 19:37:30,4,1
2025-11-03 19:38:00,4,1
2025-11-03 19:38:30,4,1
2025-11-03 19:39:00,2,1
2025-11-03 19:39:30,2,1
2025-11-03 19:40:00,1,1
2025-11-03 19:40:30,5,1
2025-11-03 19:41:00,8,1
2025-11-03 19:41:30,9,1
2025-11-03 19:42:00,9,2
2025-11-03 19:42:30,10,2
2025-11-03 19:43:00,10,3
2025-11-03 19:43:30,10,2
2025-11-03 19:44:00,10,3
2025-11-03 19:44:30,10,3
2025-11-03 19:45:00,10,3
2025-11-03 19:45:30,9,4
2025-11-03 19:46:00,8,3
2025-11-03 19:46:30,9,4
2025-11-03 19:47:00,9,1
2025-11-03 19:47:30,9,1
2025-11-03 19:48:00,9,4
2025-11-03 19:48:30,8,2
2025-11-03 19:49:00,8,1
2025-11-03 19:49:30,8,3
2025-11-03 19:50:00,8,5
2025-11-03 19:50:30,8,8
2025-11-03 19:51:00,9,3
2025-11-03 19:51:30,9,1
2025-11-03 19:52:00,10,3
2025-11-03 19:52:30,9,5
2025-11-03 19:53:00,9,4
2025-11-03 19:53:30,10,1
2025-11-03 19:54:00,10,3
2025-11-03 19:54:30,10,5
2025-11-03 19:55:00,10,4
2025-11-03 19:55:30,9,1
2025-11-03 19:56:00,9,2
2025-11-03 19:56:30,8,5
2025-11-03 19:57:00,7,7
2025-11-03 19:57:30,7,7
2025-11-03 19:58:00,7,1
2025-11-03 19:58:30,8,1
2025-11-03 19:59:00,8,4
2025-11-03 19:59:30,8,2
2025-11-03 20:00:00,8,1
2025-11-03 20:00:30,8,3
2025-11-03 20:01:00,9,5
2025-11-03 20:01:30,8,5
2025-11-03 20:02:00,8,3
2025-11-03 20:02:30,8,2
2025-11-03 20:03:00,8,4
2025-11-03 20:03:30,8,7
2025-11-03 20:04:00,9,5
2025-11-03 20:04:30,9,1
2025-11-03 20:05:00,9,3
2025-11-03 20:05:30,9,5
2025-11-03 20:06:00,9,2
2025-11-03 20:06:30,9,2
2025-11-03 20:07:00,8,3
2025-11-03 20:07:30,6,5
2025-11-03 20:08:00,6,5
2025-11-03 20:08:30,5,2
2025-11-03 20:09:00,5,1
2025-11-03 20:09:30,4,1
2025-11-03 20:10:00,5,2
2025-11-03 20:10:30,6,1
2025-11-03 20:11:00,6,1
2025-11-03 20:11:30,6,1
2025-11-03 20:12:00,6,1
2025-11-03 20:12:30,6,2
2025-11-03 20:13:00,6,2
2025-11-03 20:13:30,6,1
2025-11-03 20:14:00,5,1
2025-11-03 20:14:30,4,3
2025-11-03 20:15:00,4,3
2025-11-03 20:15:30,3,1
2025-11-03 20:16:00,3,1
2025-11-03 20:16:30,3,1
2025-11-03 20:17:00,3,1
2025-11-03 20:17:30,2,1
2025-11-03 20:18:00,2,1
2025-11-03 20:18:30,2,1
2025-11-03 20:19:00,2,1
2025-11-03 20:19:30,2,1
2025-11-03 20:20:00,2,1
2025-11-03 20:20:30,2,1
2025-11-03 20:21:00,2,1
2025-11-03 20:21:30,2,1
2025-11-03 20:22:00,2,1
2025-11-03 20:22:30,2,1
2025-11-03 20:23:00,2,1
2025-11-03 20:23:30,0,1
2025-11-03 20:24:00,0,1
2025-11-03 20:24:30,0,1
2025-11-03 20:25:00,0,1
2025-11-03 20:25:30,0,1
2025-11-03 20:26:00,0,1
2025-11-03 20:26:30,0,1
2025-11-03 20:27:00,0,1
2025-11-03 20:27:30,0,1
2025-11-03 20:28:00,0,1
2025-11-03 20:28:30,0,1
2025-11-03 20:29:00,0,1
2025-11-03 20:29:30,0,1
2025-11-03 20:30:00,0,1
2025-11-03 20:30:30,0,1
2025-11-03 20:31:00,0,1
2025-11-03 20:31:30,0,1
2025-11-03 20:32:00,0,1
2025-11-03 20:32:30,0,1
2025-11-03 20:33:00,0,1
2025-11-03 20:33:30,0,1
2025-11-03 20:34:00,0,1
2025-11-03 20:34:30,0,1
2025-11-03 20:35:00,0,1
2025-11-03 20:35:30,0,1
2025-11-03 20:36:00,0,1
2025-11-03 20:36:30,0,1
2025-11-03 20:37:00,0,1
2025-11-03 20:37:30,0,1
2025-11-03 20:38:00,0,1
2025-11-03 20:38:30,0,1
2025-11-03 20:39:00,0,1
2025-11-03 20:39:30,0,1
2025-11-03 20:40:00,0,1
2025-11-03 20:40:30,0,1
2025-11-03 20:41:00,0,1
2025-11-03 20:41:30,0,1
2025-11-03 20:42:00,0,1
2025-11-03 20:42:30,0,1
2025-11-03 20:43:00,0,1
2025-11-03 20:43:30,0,1
2025-11-03 20:44:00,0,1
2025-11-03 20:44:30,0,1
2025-11-03 20:45:00,0,1
2025-11-03 20:45:30,0,1
2025-11-03 20:46:00,0,1
2025-11-03 20:46:30,0,1
2025-11-03 20:47:00,0,1
2025-11-03 20:47:30,0,1
2025-11-03 20:48:00,0,1
2025-11-03 20:48:30,0,1
2025-11-03 20:49:00,0,1
2025-11-03 20:49:30,0,1
2025-11-03 20:50:00,0,1
2025-11-03 20:50:30,0,1
2025-11-03 20:51:00,0,1
2025-11-03 20:51:30,0,1
2025-11-03 20:52:00,0,1
2025-11-03 20:52:30,0,1
2025-11-03 20:53:00,0,1
2025-11-03 20:53:30,0,1
2025-11-03 20:54:00,0,1
2025-11-03 20:54:30,0,1
2025-11-03 20:55:00,0,1
2025-11-03 20:55:30,0,1
2025-11-03 20:56:00,0,1
2025-11-03 20:56:30,0,1
2025-11-03 20:57:00,0,1
2025-11-03 20:57:30,0,1
2025-11-03 20:58:00,0,1
2025-11-03 20:58:30,0,1
2025-11-03 20:59:00,0,1
2025-11-03 20:59:30,0,1
2025-11-03 21:00:00,0,1
2025-11-03 21:00:30,0,1
2025-11-03 21:01:00,0,1
2025-11-03 21:01:30,0,1
2025-11-03 21:02:00,0,1
2025-11-03 21:02:30,0,1
2025-11-03 21:03:00,0,1
2025-11-03 21:03:30,0,1
2025-11-03 21:04:00,0,1
2025-11-03 21:04:30,0,1
2025-11-03 21:05:00,0,1
2025-11-03 21:05:30,0,1
2025-11-03 21:06:00,0,1
2025-11-03 21:06:30,0,1
2025-11-03 21:07:00,1,1
2025-11-03 21:07:30,1,1
2025-11-03 21:08:00,1,1
2025-11-03 21:08:30,1,1
2025-11-03 21:09:00,1,1
2025-11-03 21:09:30,1,1
2025-11-03 21:10:00,1,1
2025-11-03 21:10:30,1,1
2025-11-03 21:11:00,1,1
2025-11-03 21:11:30,5,1
2025-11-03 21:12:00,5,1
2025-11-03 21:12:30,5,1
2025-11-03 21:13:00,5,1
2025-11-03 21:13:30,5,1
2025-11-03 21:14:00,5,1
2025-11-03 21:14:30,5,1
2025-11-03 21:15:00,6,1
2025-11-03 21:15:30,4,1
2025-11-03 21:16:00,3,1
2025-11-03 21:16:30,5,1
2025-11-03 21:17:00,5,1
2025-11-03 21:17:30,7,1
2025-11-03 21:18:00,9,1
2025-11-03 21:18:30,7,1
2025-11-03 21:19:00,7,1
2025-11-03 21:19:30,7,2
2025-11-03 21:20:00,7,2
2025-11-03 21:20:30,8,2
2025-11-03 21:21:00,8,1
2025-11-03 21:21:30,8,2
2025-11-03 21:22:00,7,4
2025-11-03 21:22:30,7,1
2025-11-03 21:23:00,9,2
2025-11-03 21:23:30,9,4
2025-11-03 21:24:00,8,7
2025-11-03 21:24:30,7,6
2025-11-03 21:25:00,6,1
2025-11-03 21:25:30,5,4
2025-11-03 21:26:00,6,6
2025-11-03 21:26:30,6,3
