sep=,
"Time","p0.9"
2025-11-04 18:42:50,39.3 ms
2025-11-04 18:42:55,12.6 ms
2025-11-04 18:43:00,12.6 ms
2025-11-04 18:43:05,28.0 ms
2025-11-04 18:43:10,12.6 ms
2025-11-04 18:43:15,17.6 ms
2025-11-04 18:43:20,13.6 ms
2025-11-04 18:43:25,24.6 ms
2025-11-04 18:43:30,12.6 ms
2025-11-04 18:43:35,79.2 ms
2025-11-04 18:43:40,71.0 ms
2025-11-04 18:43:45,14.9 ms
2025-11-04 18:43:50,100 ms
2025-11-04 18:43:55,117 ms
2025-11-04 18:44:00,83.6 ms
2025-11-04 18:44:05,117 ms
2025-11-04 18:44:10,23.9 ms
2025-11-04 18:44:15,75.0 ms
2025-11-04 18:44:20,12.8 ms
2025-11-04 18:44:25,87.8 ms
2025-11-04 18:44:30,12.8 ms
2025-11-04 18:44:35,37.5 ms
2025-11-04 18:44:40,12.6 ms
2025-11-04 18:44:45,83.4 ms
2025-11-04 18:44:50,26.0 ms
2025-11-04 18:44:55,11.8 ms
2025-11-04 18:45:00,11.8 ms
2025-11-04 18:45:05,20.7 ms
2025-11-04 18:45:10,14.9 ms
2025-11-04 18:45:15,13.6 ms
2025-11-04 18:45:20,13.9 ms
2025-11-04 18:45:25,12.8 ms
2025-11-04 18:45:30,13.9 ms
2025-11-04 18:45:35,37.2 ms
2025-11-04 18:45:40,12.6 ms
2025-11-04 18:45:45,39.6 ms
2025-11-04 18:45:50,13.9 ms
2025-11-04 18:45:55,13.6 ms
2025-11-04 18:46:00,13.9 ms
2025-11-04 18:46:05,12.8 ms
2025-11-04 18:46:10,11.5 ms
2025-11-04 18:46:15,56.4 ms
2025-11-04 18:46:20,12.8 ms
2025-11-04 18:46:25,14.7 ms
2025-11-04 18:46:30,29.9 ms
2025-11-04 18:46:35,25.7 ms
2025-11-04 18:46:40,12.8 ms
2025-11-04 18:46:45,19.4 ms
2025-11-04 18:46:50,13.6 ms
2025-11-04 18:46:55,33.3 ms
2025-11-04 18:47:00,12.6 ms
2025-11-04 18:47:05,14.9 ms
2025-11-04 18:47:10,43.5 ms
2025-11-04 18:47:15,12.6 ms
2025-11-04 18:47:20,12.8 ms
2025-11-04 18:47:25,43.5 ms
2025-11-04 18:47:30,18.6 ms
2025-11-04 18:47:35,43.8 ms
2025-11-04 18:47:40,13.9 ms
2025-11-04 18:47:45,20.7 ms
2025-11-04 18:47:50,16.0 ms
2025-11-04 18:47:55,14.9 ms
2025-11-04 18:48:00,13.9 ms
2025-11-04 18:48:05,19.7 ms
2025-11-04 18:48:10,14.7 ms
2025-11-04 18:48:15,14.9 ms
2025-11-04 18:48:20,13.9 ms
2025-11-04 18:48:25,18.4 ms
2025-11-04 18:48:30,17.6 ms
2025-11-04 18:48:35,14.9 ms
2025-11-04 18:48:40,13.9 ms
2025-11-04 18:48:45,14.9 ms
2025-11-04 18:48:50,14.9 ms
2025-11-04 18:48:55,13.9 ms
2025-11-04 18:49:00,13.9 ms
2025-11-04 18:49:05,19.7 ms
2025-11-04 18:49:10,14.9 ms
2025-11-04 18:49:15,14.9 ms
2025-11-04 18:49:20,13.9 ms
2025-11-04 18:49:25,19.7 ms
2025-11-04 18:49:30,17.6 ms
2025-11-04 18:49:35,13.9 ms
2025-11-04 18:49:40,13.9 ms
2025-11-04 18:49:45,14.9 ms
2025-11-04 18:49:50,14.9 ms
2025-11-04 18:49:55,14.9 ms
2025-11-04 18:50:00,13.9 ms
2025-11-04 18:50:05,17.6 ms
2025-11-04 18:50:10,16.0 ms
2025-11-04 18:50:15,18.6 ms
2025-11-04 18:50:20,13.9 ms
2025-11-04 18:50:25,21.8 ms
2025-11-04 18:50:30,17.6 ms
2025-11-04 18:50:35,35.4 ms
2025-11-04 18:50:40,13.9 ms
2025-11-04 18:50:45,12.8 ms
2025-11-04 18:50:50,37.2 ms
2025-11-04 18:50:55,13.6 ms
2025-11-04 18:51:00,13.6 ms
2025-11-04 18:51:05,22.8 ms
2025-11-04 18:51:10,10.7 ms
2025-11-04 18:51:15,45.9 ms
2025-11-04 18:51:20,12.6 ms
2025-11-04 18:51:25,18.6 ms
2025-11-04 18:51:30,35.1 ms
2025-11-04 18:51:35,32.2 ms
2025-11-04 18:51:40,13.6 ms
2025-11-04 18:51:45,14.9 ms
2025-11-04 18:51:50,21.8 ms
2025-11-04 18:51:55,13.6 ms
2025-11-04 18:52:00,17.6 ms
2025-11-04 18:52:05,35.1 ms
2025-11-04 18:52:10,28.0 ms
2025-11-04 18:52:15,41.7 ms
2025-11-04 18:52:20,21.5 ms
2025-11-04 18:52:25,19.4 ms
2025-11-04 18:52:30,13.9 ms
2025-11-04 18:52:35,27.0 ms
2025-11-04 18:52:40,12.6 ms
2025-11-04 18:52:45,12.6 ms
2025-11-04 18:52:50,12.6 ms
2025-11-04 18:52:55,24.6 ms
2025-11-04 18:53:00,12.6 ms
2025-11-04 18:53:05,49.8 ms
2025-11-04 18:53:10,12.8 ms
2025-11-04 18:53:15,39.3 ms
2025-11-04 18:53:20,13.6 ms
2025-11-04 18:53:25,21.5 ms
2025-11-04 18:53:30,26.7 ms
2025-11-04 18:53:35,12.8 ms
2025-11-04 18:53:40,13.6 ms
2025-11-04 18:53:45,45.6 ms
2025-11-04 18:53:50,10.7 ms
2025-11-04 18:53:55,14.7 ms
2025-11-04 18:54:00,13.6 ms
2025-11-04 18:54:05,23.6 ms
2025-11-04 18:54:10,13.6 ms
2025-11-04 18:54:15,11.5 ms
2025-11-04 18:54:20,13.6 ms
2025-11-04 18:54:25,21.8 ms
2025-11-04 18:54:30,28.8 ms
2025-11-04 18:54:35,37.2 ms
2025-11-04 18:54:40,12.8 ms
2025-11-04 18:54:45,11.8 ms
2025-11-04 18:54:50,13.6 ms
2025-11-04 18:54:55,13.6 ms
2025-11-04 18:55:00,14.7 ms
2025-11-04 18:55:05,17.3 ms
2025-11-04 18:55:10,13.6 ms
2025-11-04 18:55:15,18.4 ms
2025-11-04 18:55:20,13.9 ms
2025-11-04 18:55:25,17.3 ms
2025-11-04 18:55:30,13.9 ms
2025-11-04 18:55:35,24.6 ms
2025-11-04 18:55:40,13.6 ms
2025-11-04 18:55:45,17.3 ms
2025-11-04 18:55:50,32.0 ms
2025-11-04 18:55:55,14.7 ms
2025-11-04 18:56:00,13.6 ms
2025-11-04 18:56:05,20.4 ms
2025-11-04 18:56:10,13.6 ms
2025-11-04 18:56:15,30.9 ms
2025-11-04 18:56:20,13.9 ms
2025-11-04 18:56:25,13.6 ms
2025-11-04 18:56:30,12.6 ms
2025-11-04 18:56:35,27.8 ms
2025-11-04 18:56:40,9.96 ms
2025-11-04 18:56:45,12.6 ms
2025-11-04 18:56:50,35.4 ms
2025-11-04 18:56:55,14.7 ms
2025-11-04 18:57:00,12.6 ms
2025-11-04 18:57:05,39.3 ms
2025-11-04 18:57:10,13.9 ms
2025-11-04 18:57:15,21.5 ms
2025-11-04 18:57:20,13.9 ms
2025-11-04 18:57:25,35.1 ms
2025-11-04 18:57:30,13.6 ms
2025-11-04 18:57:35,35.4 ms
2025-11-04 18:57:40,11.8 ms
2025-11-04 18:57:45,19.4 ms
2025-11-04 18:57:50,18.4 ms
2025-11-04 18:57:55,47.7 ms
2025-11-04 18:58:00,13.6 ms
2025-11-04 18:58:05,14.9 ms
2025-11-04 18:58:10,12.8 ms
2025-11-04 18:58:15,13.6 ms
2025-11-04 18:58:20,11.5 ms
2025-11-04 18:58:25,17.3 ms
2025-11-04 18:58:30,28.8 ms
2025-11-04 18:58:35,32.2 ms
2025-11-04 18:58:40,14.7 ms
2025-11-04 18:58:45,12.6 ms
2025-11-04 18:58:50,24.9 ms
2025-11-04 18:58:55,51.9 ms
2025-11-04 18:59:00,13.6 ms
2025-11-04 18:59:05,22.5 ms
2025-11-04 18:59:10,26.7 ms
2025-11-04 18:59:15,22.5 ms
2025-11-04 18:59:20,13.6 ms
2025-11-04 18:59:25,12.6 ms
2025-11-04 18:59:30,14.7 ms
2025-11-04 18:59:35,43.5 ms
2025-11-04 18:59:40,13.6 ms
2025-11-04 18:59:45,21.5 ms
2025-11-04 18:59:50,29.9 ms
2025-11-04 18:59:55,37.2 ms
2025-11-04 19:00:00,14.7 ms
2025-11-04 19:00:05,21.5 ms
2025-11-04 19:00:10,30.9 ms
2025-11-04 19:00:15,13.6 ms
2025-11-04 19:00:20,13.6 ms
2025-11-04 19:00:25,26.7 ms
2025-11-04 19:00:30,43.5 ms
2025-11-04 19:00:35,13.9 ms
2025-11-04 19:00:40,14.7 ms
2025-11-04 19:00:45,19.4 ms
2025-11-04 19:00:50,27.8 ms
2025-11-04 19:00:55,21.5 ms
2025-11-04 19:01:00,13.6 ms
2025-11-04 19:01:05,39.3 ms
2025-11-04 19:01:10,17.6 ms
2025-11-04 19:01:15,19.4 ms
2025-11-04 19:01:20,12.6 ms
2025-11-04 19:01:25,28.8 ms
2025-11-04 19:01:30,14.7 ms
2025-11-04 19:01:35,35.1 ms
2025-11-04 19:01:40,13.6 ms
2025-11-04 19:01:45,13.6 ms
2025-11-04 19:01:50,25.7 ms
2025-11-04 19:01:55,13.6 ms
2025-11-04 19:02:00,12.6 ms
2025-11-04 19:02:05,12.8 ms
2025-11-04 19:02:10,31.2 ms
2025-11-04 19:02:15,13.9 ms
2025-11-04 19:02:20,12.6 ms
2025-11-04 19:02:25,12.6 ms
2025-11-04 19:02:30,12.6 ms
2025-11-04 19:02:35,13.6 ms
2025-11-04 19:02:40,12.6 ms
2025-11-04 19:02:45,47.7 ms
2025-11-04 19:02:50,13.9 ms
2025-11-04 19:02:55,37.2 ms
2025-11-04 19:03:00,12.8 ms
2025-11-04 19:03:05,27.0 ms
2025-11-04 19:03:10,13.6 ms
2025-11-04 19:03:15,39.6 ms
2025-11-04 19:03:20,13.6 ms
2025-11-04 19:03:25,12.8 ms
2025-11-04 19:03:30,21.5 ms
2025-11-04 19:03:35,25.7 ms
2025-11-04 19:03:40,11.5 ms
2025-11-04 19:03:45,12.8 ms
2025-11-04 19:03:50,13.6 ms
2025-11-04 19:03:55,54.0 ms
2025-11-04 19:04:00,12.6 ms
2025-11-04 19:04:05,11.5 ms
2025-11-04 19:04:10,15.7 ms
2025-11-04 19:04:15,11.8 ms
2025-11-04 19:04:20,12.6 ms
2025-11-04 19:04:25,17.3 ms
2025-11-04 19:04:30,14.7 ms
2025-11-04 19:04:35,12.8 ms
2025-11-04 19:04:40,13.6 ms
2025-11-04 19:04:45,13.6 ms
2025-11-04 19:04:50,21.8 ms
2025-11-04 19:04:55,43.8 ms
2025-11-04 19:05:00,13.9 ms
2025-11-04 19:05:05,19.4 ms
2025-11-04 19:05:10,9.18 ms
2025-11-04 19:05:15,12.8 ms
2025-11-04 19:05:20,13.6 ms
2025-11-04 19:05:25,11.5 ms
2025-11-04 19:05:30,12.6 ms
2025-11-04 19:05:35,13.6 ms
2025-11-04 19:05:40,13.9 ms
2025-11-04 19:05:45,11.5 ms
2025-11-04 19:05:50,11.5 ms
2025-11-04 19:05:55,26.0 ms
2025-11-04 19:06:00,11.5 ms
2025-11-04 19:06:05,16.0 ms
2025-11-04 19:06:10,12.6 ms
2025-11-04 19:06:15,12.8 ms
2025-11-04 19:06:20,14.7 ms
2025-11-04 19:06:25,14.7 ms
2025-11-04 19:06:30,13.9 ms
2025-11-04 19:06:35,12.6 ms
2025-11-04 19:06:40,12.6 ms
2025-11-04 19:06:45,21.5 ms
2025-11-04 19:06:50,13.9 ms
2025-11-04 19:06:55,39.3 ms
2025-11-04 19:07:00,13.6 ms
2025-11-04 19:07:05,13.9 ms
2025-11-04 19:07:10,13.6 ms
2025-11-04 19:07:15,13.6 ms
2025-11-04 19:07:20,13.6 ms
2025-11-04 19:07:25,13.6 ms
2025-11-04 19:07:30,35.1 ms
2025-11-04 19:07:35,12.6 ms
2025-11-04 19:07:40,13.6 ms
2025-11-04 19:07:45,20.4 ms
2025-11-04 19:07:50,15.7 ms
