sep=,
"Time","p0.9"
2025-11-04 18:26:15,22.8 ms
2025-11-04 18:26:20,17.7 ms
2025-11-04 18:26:25,19.7 ms
2025-11-04 18:26:30,35.4 ms
2025-11-04 18:26:35,26.0 ms
2025-11-04 18:26:40,17.7 ms
2025-11-04 18:26:45,33.3 ms
2025-11-04 18:26:50,50.1 ms
2025-11-04 18:26:55,45.9 ms
2025-11-04 18:27:00,18.7 ms
2025-11-04 18:27:05,21.8 ms
2025-11-04 18:27:10,33.4 ms
2025-11-04 18:27:15,30.1 ms
2025-11-04 18:27:20,17.7 ms
2025-11-04 18:27:25,27.0 ms
2025-11-04 18:27:30,35.5 ms
2025-11-04 18:27:35,39.6 ms
2025-11-04 18:27:40,17.7 ms
2025-11-04 18:27:45,21.8 ms
2025-11-04 18:27:50,41.7 ms
2025-11-04 18:27:55,23.9 ms
2025-11-04 18:28:00,19.7 ms
2025-11-04 18:28:05,21.9 ms
2025-11-04 18:28:10,41.7 ms
2025-11-04 18:28:15,32.4 ms
2025-11-04 18:28:20,17.6 ms
2025-11-04 18:28:25,25.0 ms
2025-11-04 18:28:30,30.1 ms
2025-11-04 18:28:35,16.1 ms
2025-11-04 18:28:40,17.6 ms
2025-11-04 18:28:45,26.0 ms
2025-11-04 18:28:50,37.6 ms
2025-11-04 18:28:55,27.0 ms
2025-11-04 18:29:00,19.7 ms
2025-11-04 18:29:05,26.0 ms
2025-11-04 18:29:10,41.8 ms
2025-11-04 18:29:15,35.4 ms
2025-11-04 18:29:20,16.0 ms
2025-11-04 18:29:25,18.6 ms
2025-11-04 18:29:30,32.2 ms
2025-11-04 18:29:35,21.8 ms
2025-11-04 18:29:40,18.6 ms
2025-11-04 18:29:45,19.7 ms
2025-11-04 18:29:50,37.5 ms
2025-11-04 18:29:55,16.0 ms
2025-11-04 18:30:00,17.6 ms
2025-11-04 18:30:05,37.5 ms
2025-11-04 18:30:10,33.3 ms
2025-11-04 18:30:15,29.1 ms
2025-11-04 18:30:20,16.0 ms
2025-11-04 18:30:25,33.3 ms
2025-11-04 18:30:30,37.5 ms
2025-11-04 18:30:35,31.2 ms
2025-11-04 18:30:40,18.6 ms
2025-11-04 18:30:45,19.8 ms
2025-11-04 18:30:50,33.3 ms
2025-11-04 18:30:55,43.8 ms
2025-11-04 18:31:00,16.0 ms
2025-11-04 18:31:05,22.8 ms
2025-11-04 18:31:10,33.3 ms
2025-11-04 18:31:15,28.0 ms
2025-11-04 18:31:20,16.0 ms
2025-11-04 18:31:25,28.0 ms
2025-11-04 18:31:30,28.0 ms
2025-11-04 18:31:35,37.5 ms
2025-11-04 18:31:40,17.6 ms
2025-11-04 18:31:45,37.5 ms
2025-11-04 18:31:50,26.0 ms
2025-11-04 18:31:55,14.9 ms
2025-11-04 18:32:00,16.0 ms
2025-11-04 18:32:05,32.2 ms
2025-11-04 18:32:10,37.5 ms
2025-11-04 18:32:15,39.6 ms
2025-11-04 18:32:20,12.8 ms
2025-11-04 18:32:25,24.9 ms
2025-11-04 18:32:30,28.0 ms
2025-11-04 18:32:35,35.4 ms
2025-11-04 18:32:40,12.8 ms
2025-11-04 18:32:45,31.2 ms
2025-11-04 18:32:50,22.8 ms
2025-11-04 18:32:55,12.8 ms
2025-11-04 18:33:00,20.7 ms
2025-11-04 18:33:05,21.8 ms
2025-11-04 18:33:10,26.0 ms
2025-11-04 18:33:15,20.7 ms
2025-11-04 18:33:20,20.7 ms
2025-11-04 18:33:25,28.0 ms
2025-11-04 18:33:30,26.0 ms
2025-11-04 18:33:35,19.7 ms
2025-11-04 18:33:40,20.7 ms
2025-11-04 18:33:45,43.8 ms
2025-11-04 18:33:50,26.0 ms
2025-11-04 18:33:55,19.7 ms
2025-11-04 18:34:00,13.9 ms
2025-11-04 18:34:05,27.0 ms
2025-11-04 18:34:10,13.6 ms
2025-11-04 18:34:15,0 ms
2025-11-04 18:34:20,27.8 ms
2025-11-04 18:34:25,142 ms
2025-11-04 18:34:30,50.1 ms
2025-11-04 18:34:35,87.6 ms
2025-11-04 18:34:40,12.6 ms
2025-11-04 18:34:45,12.8 ms
2025-11-04 18:34:50,10.2 ms
2025-11-04 18:34:55,62.4 ms
2025-11-04 18:35:00,75.2 ms
2025-11-04 18:35:05,14.9 ms
2025-11-04 18:35:10,79.2 ms
2025-11-04 18:35:15,11.8 ms
2025-11-04 18:35:20,10.7 ms
2025-11-04 18:35:25,12.8 ms
2025-11-04 18:35:30,43.8 ms
2025-11-04 18:35:35,10.7 ms
2025-11-04 18:35:40,21.8 ms
2025-11-04 18:35:45,25.7 ms
2025-11-04 18:35:50,21.8 ms
2025-11-04 18:35:55,10.7 ms
2025-11-04 18:36:00,12.8 ms
2025-11-04 18:36:05,35.4 ms
2025-11-04 18:36:10,32.2 ms
2025-11-04 18:36:15,23.9 ms
2025-11-04 18:36:20,13.9 ms
2025-11-04 18:36:25,21.8 ms
2025-11-04 18:36:30,30.1 ms
2025-11-04 18:36:35,16.0 ms
2025-11-04 18:36:40,12.8 ms
2025-11-04 18:36:45,17.6 ms
2025-11-04 18:36:50,24.9 ms
2025-11-04 18:36:55,14.9 ms
2025-11-04 18:37:00,13.9 ms
2025-11-04 18:37:05,13.9 ms
2025-11-04 18:37:10,17.6 ms
2025-11-04 18:37:15,24.9 ms
2025-11-04 18:37:20,13.9 ms
2025-11-04 18:37:25,13.9 ms
2025-11-04 18:37:30,13.9 ms
2025-11-04 18:37:35,17.6 ms
2025-11-04 18:37:40,13.9 ms
2025-11-04 18:37:45,19.7 ms
2025-11-04 18:37:50,13.9 ms
2025-11-04 18:37:55,14.7 ms
2025-11-04 18:38:00,13.9 ms
2025-11-04 18:38:05,21.8 ms
2025-11-04 18:38:10,16.0 ms
2025-11-04 18:38:15,20.7 ms
2025-11-04 18:38:20,13.9 ms
2025-11-04 18:38:25,17.6 ms
2025-11-04 18:38:30,13.9 ms
2025-11-04 18:38:35,19.7 ms
2025-11-04 18:38:40,13.9 ms
2025-11-04 18:38:45,23.9 ms
2025-11-04 18:38:50,13.9 ms
2025-11-04 18:38:55,27.0 ms
2025-11-04 18:39:00,13.6 ms
2025-11-04 18:39:05,20.7 ms
2025-11-04 18:39:10,13.9 ms
2025-11-04 18:39:15,29.9 ms
2025-11-04 18:39:20,12.8 ms
2025-11-04 18:39:25,12.6 ms
2025-11-04 18:39:30,15.7 ms
2025-11-04 18:39:35,13.6 ms
2025-11-04 18:39:40,15.7 ms
2025-11-04 18:39:45,20.4 ms
2025-11-04 18:39:50,13.9 ms
2025-11-04 18:39:55,100 ms
2025-11-04 18:40:00,35.4 ms
2025-11-04 18:40:05,33.0 ms
2025-11-04 18:40:10,21.8 ms
2025-11-04 18:40:15,17.6 ms
2025-11-04 18:40:20,13.9 ms
2025-11-04 18:40:25,22.5 ms
2025-11-04 18:40:30,21.8 ms
2025-11-04 18:40:35,13.9 ms
2025-11-04 18:40:40,14.9 ms
2025-11-04 18:40:45,16.0 ms
2025-11-04 18:40:50,13.9 ms
2025-11-04 18:40:55,13.9 ms
